unit,code,kpi,target_type,month,plan_value
VNPT GRI,B1,Doanh thu bán hàng PTM,KH TCT - Doanh thu,202601,506.1
VNPT GRI,B1,Doanh thu bán hàng PTM,KH TCT - Doanh thu,202602,506.2
VNPT GRI,B1,Doanh thu bán hàng PTM,KH TCT - Doanh thu,202603,674.9
VNPT GRI,B1,Doanh thu bán hàng PTM,KH TCT - Doanh thu,202604,607.5
VNPT GRI,B1,Doanh thu bán hàng PTM,KH TCT - Doanh thu,202605,641
VNPT GRI,B1,Doanh thu bán hàng PTM,KH TCT - Doanh thu,202606,641.1
VNPT GRI,B1,Doanh thu bán hàng PTM - Mục tiêu tỉnh,KH tỉnh - Doanh thu,202601,298.5
VNPT GRI,B1,Doanh thu bán hàng PTM - Mục tiêu tỉnh,KH tỉnh - Doanh thu,202602,266.9
VNPT GRI,B1,Doanh thu bán hàng PTM - Mục tiêu tỉnh,KH tỉnh - Doanh thu,202603,298.5
VNPT GRI,B1,Doanh thu bán hàng PTM - Mục tiêu tỉnh,KH tỉnh - Doanh thu,202604,360.5
VNPT GRI,B1,Doanh thu bán hàng PTM - Mục tiêu tỉnh,KH tỉnh - Doanh thu,202605,360.5
VNPT GRI,B1,Doanh thu bán hàng PTM - Mục tiêu tỉnh,KH tỉnh - Doanh thu,202606,360.5
VNPT GRI,B2,Thuê bao di động PTM - Mục tiêu tỉnh,KH tỉnh - TB PTM,202601,1874
VNPT GRI,B2,Thuê bao di động PTM - Mục tiêu tỉnh,KH tỉnh - TB PTM,202602,1686
VNPT GRI,B2,Thuê bao di động PTM - Mục tiêu tỉnh,KH tỉnh - TB PTM,202603,1874
VNPT GRI,B2,Thuê bao di động PTM - Mục tiêu tỉnh,KH tỉnh - TB PTM,202604,1879
VNPT GRI,B2,Thuê bao di động PTM - Mục tiêu tỉnh,KH tỉnh - TB PTM,202605,1879
VNPT GRI,B2,Thuê bao di động PTM - Mục tiêu tỉnh,KH tỉnh - TB PTM,202606,1879
VNPT GRI,B3,Tỷ lệ thuê bao mua gói trong tháng PTM,KH tỉnh - Tỷ lệ mua gói,202601,80
VNPT GRI,B3,Tỷ lệ thuê bao mua gói trong tháng PTM,KH tỉnh - Tỷ lệ mua gói,202602,80
VNPT GRI,B3,Tỷ lệ thuê bao mua gói trong tháng PTM,KH tỉnh - Tỷ lệ mua gói,202603,80
VNPT GRI,B3,Tỷ lệ thuê bao mua gói trong tháng PTM,KH tỉnh - Tỷ lệ mua gói,202604,80
VNPT GRI,B3,Tỷ lệ thuê bao mua gói trong tháng PTM,KH tỉnh - Tỷ lệ mua gói,202605,80
VNPT GRI,B3,Tỷ lệ thuê bao mua gói trong tháng PTM,KH tỉnh - Tỷ lệ mua gói,202606,80
VNPT HBH,B1,Doanh thu bán hàng PTM,KH TCT - Doanh thu,202601,359.3
VNPT HBH,B1,Doanh thu bán hàng PTM,KH TCT - Doanh thu,202602,359.4
VNPT HBH,B1,Doanh thu bán hàng PTM,KH TCT - Doanh thu,202603,479.2
VNPT HBH,B1,Doanh thu bán hàng PTM,KH TCT - Doanh thu,202604,431.2
VNPT HBH,B1,Doanh thu bán hàng PTM,KH TCT - Doanh thu,202605,455.2
VNPT HBH,B1,Doanh thu bán hàng PTM,KH TCT - Doanh thu,202606,455.1
VNPT HBH,B1,Doanh thu bán hàng PTM - Mục tiêu tỉnh,KH tỉnh - Doanh thu,202601,171.2
VNPT HBH,B1,Doanh thu bán hàng PTM - Mục tiêu tỉnh,KH tỉnh - Doanh thu,202602,153.1
VNPT HBH,B1,Doanh thu bán hàng PTM - Mục tiêu tỉnh,KH tỉnh - Doanh thu,202603,171.2
VNPT HBH,B1,Doanh thu bán hàng PTM - Mục tiêu tỉnh,KH tỉnh - Doanh thu,202604,186.5
VNPT HBH,B1,Doanh thu bán hàng PTM - Mục tiêu tỉnh,KH tỉnh - Doanh thu,202605,186.5
VNPT HBH,B1,Doanh thu bán hàng PTM - Mục tiêu tỉnh,KH tỉnh - Doanh thu,202606,186.5
VNPT HBH,B2,Thuê bao di động PTM - Mục tiêu tỉnh,KH tỉnh - TB PTM,202601,1330
VNPT HBH,B2,Thuê bao di động PTM - Mục tiêu tỉnh,KH tỉnh - TB PTM,202602,1197
VNPT HBH,B2,Thuê bao di động PTM - Mục tiêu tỉnh,KH tỉnh - TB PTM,202603,1330
VNPT HBH,B2,Thuê bao di động PTM - Mục tiêu tỉnh,KH tỉnh - TB PTM,202604,1334
VNPT HBH,B2,Thuê bao di động PTM - Mục tiêu tỉnh,KH tỉnh - TB PTM,202605,1334
VNPT HBH,B2,Thuê bao di động PTM - Mục tiêu tỉnh,KH tỉnh - TB PTM,202606,1334
VNPT HBH,B3,Tỷ lệ thuê bao mua gói trong tháng PTM,KH tỉnh - Tỷ lệ mua gói,202601,80
VNPT HBH,B3,Tỷ lệ thuê bao mua gói trong tháng PTM,KH tỉnh - Tỷ lệ mua gói,202602,80
VNPT HBH,B3,Tỷ lệ thuê bao mua gói trong tháng PTM,KH tỉnh - Tỷ lệ mua gói,202603,80
VNPT HBH,B3,Tỷ lệ thuê bao mua gói trong tháng PTM,KH tỉnh - Tỷ lệ mua gói,202604,80
VNPT HBH,B3,Tỷ lệ thuê bao mua gói trong tháng PTM,KH tỉnh - Tỷ lệ mua gói,202605,80
VNPT HBH,B3,Tỷ lệ thuê bao mua gói trong tháng PTM,KH tỉnh - Tỷ lệ mua gói,202606,80
VNPT NCN,B1,Doanh thu bán hàng PTM,KH TCT - Doanh thu,202601,278.7
VNPT NCN,B1,Doanh thu bán hàng PTM,KH TCT - Doanh thu,202602,278.7
VNPT NCN,B1,Doanh thu bán hàng PTM,KH TCT - Doanh thu,202603,371.5
VNPT NCN,B1,Doanh thu bán hàng PTM,KH TCT - Doanh thu,202604,334.5
VNPT NCN,B1,Doanh thu bán hàng PTM,KH TCT - Doanh thu,202605,353
VNPT NCN,B1,Doanh thu bán hàng PTM,KH TCT - Doanh thu,202606,353
VNPT NCN,B1,Doanh thu bán hàng PTM - Mục tiêu tỉnh,KH tỉnh - Doanh thu,202601,203.7
VNPT NCN,B1,Doanh thu bán hàng PTM - Mục tiêu tỉnh,KH tỉnh - Doanh thu,202602,182.1
VNPT NCN,B1,Doanh thu bán hàng PTM - Mục tiêu tỉnh,KH tỉnh - Doanh thu,202603,203.7
VNPT NCN,B1,Doanh thu bán hàng PTM - Mục tiêu tỉnh,KH tỉnh - Doanh thu,202604,216.3
VNPT NCN,B1,Doanh thu bán hàng PTM - Mục tiêu tỉnh,KH tỉnh - Doanh thu,202605,216.3
VNPT NCN,B1,Doanh thu bán hàng PTM - Mục tiêu tỉnh,KH tỉnh - Doanh thu,202606,216.3
VNPT NCN,B2,Thuê bao di động PTM - Mục tiêu tỉnh,KH tỉnh - TB PTM,202601,1032
VNPT NCN,B2,Thuê bao di động PTM - Mục tiêu tỉnh,KH tỉnh - TB PTM,202602,928
VNPT NCN,B2,Thuê bao di động PTM - Mục tiêu tỉnh,KH tỉnh - TB PTM,202603,1032
VNPT NCN,B2,Thuê bao di động PTM - Mục tiêu tỉnh,KH tỉnh - TB PTM,202604,1035
VNPT NCN,B2,Thuê bao di động PTM - Mục tiêu tỉnh,KH tỉnh - TB PTM,202605,1035
VNPT NCN,B2,Thuê bao di động PTM - Mục tiêu tỉnh,KH tỉnh - TB PTM,202606,1035
VNPT NCN,B3,Tỷ lệ thuê bao mua gói trong tháng PTM,KH tỉnh - Tỷ lệ mua gói,202601,80
VNPT NCN,B3,Tỷ lệ thuê bao mua gói trong tháng PTM,KH tỉnh - Tỷ lệ mua gói,202602,80
VNPT NCN,B3,Tỷ lệ thuê bao mua gói trong tháng PTM,KH tỉnh - Tỷ lệ mua gói,202603,80
VNPT NCN,B3,Tỷ lệ thuê bao mua gói trong tháng PTM,KH tỉnh - Tỷ lệ mua gói,202604,80
VNPT NCN,B3,Tỷ lệ thuê bao mua gói trong tháng PTM,KH tỉnh - Tỷ lệ mua gói,202605,80
VNPT NCN,B3,Tỷ lệ thuê bao mua gói trong tháng PTM,KH tỉnh - Tỷ lệ mua gói,202606,80
VNPT PLG,B1,Doanh thu bán hàng PTM,KH TCT - Doanh thu,202601,428
VNPT PLG,B1,Doanh thu bán hàng PTM,KH TCT - Doanh thu,202602,428
VNPT PLG,B1,Doanh thu bán hàng PTM,KH TCT - Doanh thu,202603,570.7
VNPT PLG,B1,Doanh thu bán hàng PTM,KH TCT - Doanh thu,202604,513.6
VNPT PLG,B1,Doanh thu bán hàng PTM,KH TCT - Doanh thu,202605,542.1
VNPT PLG,B1,Doanh thu bán hàng PTM,KH TCT - Doanh thu,202606,542
VNPT PLG,B1,Doanh thu bán hàng PTM - Mục tiêu tỉnh,KH tỉnh - Doanh thu,202601,312.9
VNPT PLG,B1,Doanh thu bán hàng PTM - Mục tiêu tỉnh,KH tỉnh - Doanh thu,202602,279.7
VNPT PLG,B1,Doanh thu bán hàng PTM - Mục tiêu tỉnh,KH tỉnh - Doanh thu,202603,312.9
VNPT PLG,B1,Doanh thu bán hàng PTM - Mục tiêu tỉnh,KH tỉnh - Doanh thu,202604,304.8
VNPT PLG,B1,Doanh thu bán hàng PTM - Mục tiêu tỉnh,KH tỉnh - Doanh thu,202605,304.8
VNPT PLG,B1,Doanh thu bán hàng PTM - Mục tiêu tỉnh,KH tỉnh - Doanh thu,202606,304.8
