period,unit,revenue_million,kh_tct_revenue_million,pct_kh_tct,kh_tinh_revenue_million,pct_kh_tinh,tb_ptm,kh_b2_tb_ptm,pct_b2,sl_ptm_package,package_rate,kh_b3_package_rate,delta_b3
T6_2026,VNPT BLU,2067.24,686.5,3.011274581209031,420.8,4.91264258555133,1352,2012,0.6719681908548708,1349,0.9977810650887574,0.8,0.19778106508875737
T6_2026,VNPT CNC,2458.201,773.5,3.1780232708468,474.1,5.184984180552626,1852,2267,0.8169386854874283,1852,1,0.8,0.19999999999999996
T6_2026,VNPT GRI,2360.159,641.1,3.681420995164561,360.5,6.546904299583912,992,1879,0.5279403938265035,993,1.001008064516129,0.8,0.20100806451612896
T6_2026,VNPT HBH,482.7765,455.1,1.0608141067897165,186.5,2.588613941018767,510,1334,0.3823088455772114,510,1,0.8,0.19999999999999996
T6_2026,VNPT NCN,2232.455,353,6.324235127478754,216.3,10.3211049468331,761,1035,0.7352657004830918,761,1,0.8,0.19999999999999996
T6_2026,VNPT PLG,2640.229,542,4.871271217712176,304.8,8.662168635170604,654,1589,0.4115796098174953,654,1,0.8,0.19999999999999996
T6_2026,VNPT TTH,3156.308,939.3,3.360276801873736,575.9,5.480652891126932,2563,2754,0.9306463326071169,2563,1,0.8,0.19999999999999996
T6_2026,VNPT TVT,2362.648,708.3,3.3356600310602857,434.2,5.441381851681253,2221,2076,1.0698458574181118,2221,1,0.8,0.19999999999999996
T6_2026,VNPT UMH,1297.075,488.3,2.656307597788245,299.3,4.333695289007685,1409,1432,0.9839385474860335,1409,1,0.8,0.19999999999999996
LK_1_6,VNPT BLU,14911.209,3830.4,3.892859492481203,2408.9,6.190048985013907,7216,11854,0.6087396659355492,7220,1.0005543237250554,0.8,0.20055432372505533
LK_1_6,VNPT CNC,16536.166,4315.799999999999,3.831541313313871,2714.3999999999996,6.092015178308283,9378,13358,0.70205120527025,9388,1.0010663254425252,0.8,0.20106632544252512
LK_1_6,VNPT GRI,17380.89,3576.7999999999997,4.8593407515097296,1945.4,8.9343528323224,5036,11071,0.4548821244693343,5071,1.0069499602859413,0.8,0.20694996028594126
LK_1_6,VNPT HBH,4223.865,2539.4,1.663331889422698,1055,4.003663507109004,2805,7859,0.35691563812189847,2820,1.0053475935828877,0.8,0.20534759358288768
LK_1_6,VNPT NCN,10230.631,1969.4,5.194795876916827,1238.3999999999999,8.261168443152455,3635,6097,0.5961948499261932,3636,1.0002751031636863,0.8,0.20027510316368624
LK_1_6,VNPT PLG,14226.463,3024.4,4.703895979367808,1819.8999999999999,7.817167426781692,3724,9361,0.3978207456468326,3728,1.0010741138560688,0.8,0.20107411385606877
LK_1_6,VNPT TTH,20669.264,5240.900000000001,3.9438386536663543,3296.9,6.2693026782735295,12307,16223,0.7586143130123898,12309,1.0001625091411392,0.8,0.2001625091411392
LK_1_6,VNPT TVT,14478.648000000001,3952.5,3.6631620493358636,2485.7999999999997,5.8245426019792435,11437,12231,0.9350829858556128,11442,1.0004371775815337,0.8,0.20043717758153368
LK_1_6,VNPT UMH,9348.637,2724.7000000000003,3.4310702095643557,1713.6999999999998,5.455235455447279,6996,8434,0.8294996442968935,6996,1,0.8,0.19999999999999996
